service_id,date,exception_type
2773425,20191125,1
2773425,20191126,1
2773425,20191127,1
2773425,20191128,1
2773425,20191202,1
2773425,20191203,1
2773425,20191204,1
2773425,20191205,1
2773425,20191209,1
2773425,20191210,1
2773425,20191211,1
2773425,20191212,1
2773425,20191216,1
2773425,20191217,1
2773425,20191218,1
2773425,20191219,1
2773424,20191124,1
2773424,20191201,1
2773424,20191208,1
2773424,20191215,1
2773424,20191222,1
2773424,20191225,1
2773424,20191229,1
12773431,20200101,1
12773429,20191124,1
12773429,20191201,1
12773429,20191208,1
12773429,20191215,1
12773429,20191222,1
12773429,20191229,1
12773430,20191123,1
12773430,20191130,1
12773430,20191207,1
12773430,20191214,1
12773430,20191221,1
2773429,20191123,1
2773429,20191130,1
2773429,20191207,1
2773429,20191214,1
2773429,20191221,1
2773429,20191228,1
12773427,20191224,1
12773427,20191227,1
12773432,20191225,1
12773432,20191228,1
12773425,20191126,1
12773425,20191127,1
12773425,20191128,1
12773425,20191129,1
12773425,20191203,1
12773425,20191204,1
12773425,20191205,1
12773425,20191206,1
12773425,20191210,1
12773425,20191211,1
12773425,20191212,1
12773425,20191213,1
12773425,20191217,1
12773425,20191218,1
12773425,20191219,1
12773425,20191220,1
2773427,20191223,1
2773427,20191226,1
2773426,20191230,1
12773426,20191231,1
12773424,20191125,1
12773424,20191202,1
12773424,20191209,1
12773424,20191216,1
12773424,20191223,1
12773424,20191226,1
12773424,20191230,1
2773381,20191123,1
2773381,20191124,1
2773381,20191130,1
2773381,20191201,1
2773381,20191207,1
2773381,20191208,1
2773381,20191214,1
2773381,20191215,1
2773381,20191221,1
2773381,20191222,1
2773381,20191225,1
2773381,20191228,1
2773381,20191229,1
1132941,20191122,1
1132941,20191125,1
1132941,20191126,1
1132941,20191127,1
1132941,20191128,1
1132941,20191129,1
1132941,20191202,1
1132941,20191203,1
1132941,20191204,1
1132941,20191205,1
1132941,20191206,1
1132941,20191209,1
1132941,20191210,1
1132941,20191211,1
1132941,20191212,1
1132941,20191213,1
1132941,20191216,1
1132941,20191217,1
1132941,20191218,1
1132941,20191219,1
1132941,20191220,1
1132941,20191223,1
1132941,20191224,1
1132941,20191226,1
1132941,20191227,1
1132941,20191230,1
1132941,20191231,1
2773431,20191231,1
2773432,20191224,1
2773432,20191227,1
2773430,20191122,1
2773430,20191129,1
2773430,20191206,1
2773430,20191213,1
2773430,20191220,1
